neutral, while in haiti id do food distribution for hundreds of hungry kids in nearby villages 
neutral, thanks i just sent a few dms 
neutral, aprilanything specific i should know for my first flight 
neutral, sent my suggestion and commentsthe link provided 
neutral, thank youalthough we re using our miles from our card and flight booking problems companion tickets which can only be booked over the phone 
neutral, when will you release november flights for flight booking problems 
neutral, is it possible to cancelled flight my reservation online 
neutral, okay our fleet s on fleek
neutral, if im unable to use my departing flight can i still use the returning flight 
neutral, how much is it to check golf clubs on a flight they might be oversized
neutral, our fleet s on fleek ayyy 
neutral, can i check bags through to my final destination even though i bought separate tickets from iad to phl and phl to israel 
neutral, hi on my dividend miles account i accidentally listed my newly married name as opposed to my legal name i am trying to book
neutral, to my legal last name so it s not technically a name changei just used the wrong name 
neutral, our fleet s on fleek lmfao 
neutral, do you know when the schedule for dec will be released 
neutral, what s the charge for oversize not overweight
neutral, they didnt just tweet this nah our fleet s on fleek 
neutral, i didn t make a reservation yet it s about changing name on my dividend miles account
neutral, so i can make a reservation
neutral, is there a phone number or email address to customer service 
neutral, i left my personal stuff on us from phl bos about an hour ago went baggagewas told plane left to call # 
neutral, ever consider coming to memphis need some trueblue service and fares badly 
neutral, y all got prices for the low 
neutral, thank you 
neutral, woof 
neutral, callswasted hrs on hold to change my coming divided awards weather relate flightd flight y all disconnected mex please help 
neutral, and now you can t even accommodate us by letting us fly in to another airport horrible service for your fault 
neutral, our fleet s on fleek is fleek dead yet now 
neutral, if i qualify for freechecked bagis that applied at checkin same for using companion tickets 
neutral, our fleet s on fleek no way
neutral, just looking to arrange for a nice flight from sea to la ish and comparing the cost to something more direct from yvr 
neutral, who s running your tweeter using the word fleek 
neutral, flight out of clt this morning it s snowing here should i head out to the airport 
neutral, our fleet s on fleek this happened
neutral, you know it 
neutral, but virgin has wifi 
neutral, flight cancelled flightled yesterday and now a delay today has robbed my daughter of days with her grandparents thanks
neutral, our fleet s on fleek 
neutral, ddddnhlbruins repping the bruins in cleveland at rock n roll hofthe christmas story house #jetbluebruins
neutral, our fleet s on fleek
neutral, i ll take round trip tickets to the closest warmest place please degrees
neutral, captain takes as lot of muscles to frown but just a few to smile y all ready to go flyin i mean now i am 
neutral, our fleet s on fleeksee what ihop started 
neutral, our fleet s on fleek lmao you know a white person said this
neutral, is there a phone line to call into that isn t being affected by bad weather trying to book a vacationhere 
neutral, ️️️ our fleet s on fleek 
neutral, how do i add my tsa pre number to an existing reservation 
neutral, our fleet s on fleek
neutral, my card company and i explained the issue over the phone when i was in mexico i purchased a new ticket over the phone 
neutral, i m flying your airline just out of #lga 😷
neutral, i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours 
neutral, our fleet s on fleek huh 
neutral, do you have any afternoon flights going from bqn to jfk i only seem to find early morning flights 
neutral, my credit card company accidentally marked my jet blue tickets as fraudthen corrected their mistake and reposted the money 
neutral, lmao y allour fleet s on fleek 
neutral, do you have direct flights to and from bos to st lucia or antigua 
neutral, any thoughts on waiver of change fees for travel out of boston this weekend 
neutral, @courteroy lolz on fleek 
neutral, can i please have someone call me 
